name,productUrl,imageUrl,originalPrice,DiscountedPrice,Discount,ratingScore,review,description,categories,itemId,itemSoldCntShow,sellerName,sellerId,brandId,brandName,location
Wakodo Chicken Udon Noodle Soup with Vegetables,,https://sg-live-01.slatic.net/p/8c2bc43f15ccb349987ea89ef262867e.jpg,,5.9,,5.0,23,Udon was stewed in a soup with the umami of vegetables and seafood.,"[8706, 10100747, 8718, 8720]",305082254,2k+ sold,RedMart,1000008313,63774,Wakodo,Singapore
Wakodo Anchovy Rice Porridge 2 Pack (7+ Months),,https://sg-live-01.slatic.net/p/428869af1684109c6c387425d31ac6be.jpg,,8.07,,5.0,28,Rice Porridge with Anchovy(+7months).,"[8706, 10100747, 8718, 8720]",304972937,2k+ sold,RedMart,1000008313,63774,Wakodo,Singapore
Wakodo Baby Snacks +Ca Banana Baby Biscuits (9+ Months),,https://sg-live-01.slatic.net/p/a991448185a5312ea5f329e7664f4db6.jpg,,5.65,,5.0,40,"Baby's snack + Ca calcium crackers. Using Japanese rice, shrimp, the taste of rice It is rice cracker which makes it super delicious! Soft texture that easily melts in the mouth. Size that is perfect for babies to grab hands-on. Fortified with Calcium and iron required for raising a healthy and strong child.","[8706, 10100747, 8718, 8721]",304968923,2k+ sold,RedMart,1000008313,63774,Wakodo,Singapore
Wakodo Japanese Rice Cracker With Sesame 4P,,https://sg-live-01.slatic.net/p/ba58350402f6e56cfe5451a06d1d8ecb.jpg,,6.25,,5.0,12,"A soft-type rice cracker made using Japan-grown rice and sesame seeds, with a slight soy sauce flavor. The soy sauce used is wheat-free","[8706, 10100747, 8718, 8721]",304966983,1k+ sold,RedMart,1000008313,63774,Wakodo,Singapore
Wakodo Sea Bream And Vegetable Sauce Rice Porridge 2 Pack (9+ Months),,https://sg-live-01.slatic.net/p/8e295d53ac87cd3f510a2e262ef9bcf0.jpg,,8.07,,5.0,32,Sea Bream Rice with Vegetable Sauce (+9months).,"[8706, 10100747, 8718, 8720]",303814357,2k+ sold,RedMart,1000008313,63774,Wakodo,Singapore
BebeCook Brewed Korean Golden Pear Drink With Bellflower Root,,https://sg-test-11.slatic.net/p/47ef40a4ede22c02f5a1e7a446d569c0.jpg,,2.9,,5.0,4,"The tasty BeBecook Brewed Korean Golden Pear Drink w Bellflower Root! The smooth tea will have your little one's taste buds enjoy every sip of it. Bring the slim and portable pouch out and around with ease. No artificial flavoring, coloring and seasoning added. Made in South Korea. Suitable from 12 months. Net Volume: 100ml (May contain natural sediment).","[8706, 10100747, 8718, 8719]",303380037,3k+ sold,RedMart,1000008313,110406,BebeCook,Singapore
Apple Monkey Organic Rice Cracker Corn,,https://sg-test-11.slatic.net/p/89b068f3f207d5f3660ad149cf1f0ecc.jpg,,6.01,,5.0,8,"Organic rice cracker corn flavor. It has?various nutrients which help your baby's body development. With organic and natural ingredients, this organic rice cracker offers mild taste and soft texture. Moreover, it is easy?to be handed by small little hands. This will help your baby develop his fine motor skill.","[8706, 10100747, 8718, 8721]",303060898,1k+ sold,RedMart,1000008313,64641,Apply Monkey,Singapore
Frisomum Maternal Formula Powder Milk - Pregnancy And Lactation Supplement,,https://sg-test-11.slatic.net/p/550c1b999e2d608068db9f076fd52ad7.jpg,,30.47,,5.0,33,"• For pregnant and lactating women. • Mother's nutritional needs increases during pregnancy because of the nutritional demands of her baby. • Frisomum Gold is the first maternal milk with Prebiotics and Probiotics that supports gut health and healthy digestive system. • It also contains folic acid, iron, calcium, dietary fiber, DHA and AA to support your body's changing needs during pregnancy, as well as provide a good foundation for your growing child.","[8706, 10100747, 8708, 8709]",301200009,874 sold,RedMart,1000008313,121141880,Frisomum,Singapore
Friso Gold 4 Growing Up Milk with 2 -FL for Toddler 3 Plus years Milk Powder - 2 x 900G Super Value Twin Pack,,https://sg-test-11.slatic.net/p/ef0e7f9aa8f544135eddb9ec9b179125.jpg,90.83,72.66,20% Off,4.888888888888889,4,"From 3 years onwards growing-up milk. A healthy child is a happy child, free to explore the world. Friso Gold 4 is specially formulated for your growing child. It contains nutrients to support your child's physical and mental development, that include Prebiotic and Probiotics, DHA, AA, Vitamin D, Calcium, Zinc and Selenium.","[8706, 10100747, 8708, 8712]",301190081,1k+ sold,RedMart,1000008313,59273,Friso,Singapore
Apple Monkey Organic Rice Crackers Sweet Potato,,https://sg-test-11.slatic.net/p/1d2274647be78dfae137cd9d27fea653.jpg,,6.26,,5.0,44,Organic rice crackers in 2-in-1 pack enable mums to introduce different flavors to toddlers and keep them interested. Dissolves easily in toddlers mouths. Made of jasmine rice and natural ingredients with omega 3 which helps brain and skills developments. No additional color and preservatives. The natural tastes of sweet potato introduces new and interesting flavor your baby.,"[8706, 10100747, 8718, 8721]",301182439,3k+ sold,RedMart,1000008313,58049,Apple Monkey,Singapore
PediaSure Gold With PeptiGroTM - Original (Sucrose Free) 850 G,,https://sg-test-11.slatic.net/p/b2bd4d049a18ca96c8dd75b67afa55dc.jpg,53.45,51.31,4% Off,4.977777777777778,45,"Abbott PediaSure Gold with PeptiGroTM - Original (Sucrose Free), 850 G","[8706, 10100747, 8708, 8712]",2640074801,2k+ sold,RedMart,1000008313,31110,Pediasure,Singapore
DDODDOMAM Organic Rice Rusk Apple Baby Snack,,https://sg-live-01.slatic.net/p/74662cc27ccebddedead99e5c96235d8.jpg,6.83,5.81,15% Off,4.9714285714285715,70,"Made of ORGANIC RICE cultivated in the first eco-city Yangpyeong in Korea. Softly melt in the baby's mouth in 15 seconds. With the know-how in manufacturing baby's snack, we found the best size for gripping and softness. No additives - No addition of flavorings, color, preservatives, and leavening agent. NOT fried in oil and only made with heat and pressure.","[8706, 10100747, 8718, 8721]",2013878219,3k+ sold,RedMart,1000008313,123553449,DDODDOMAM,Singapore
Gerber 1st Foods Prunes Puree 80G - From 6 Months [Carton of 6],,https://sg-test-11.slatic.net/p/81b1a68e2f1e56c08323669fa2e164dc.jpg,,12.71,,4.974137931034483,115,"GERBER 1st FOODS Prunes is made from real prunes and has no artificial colours, flavours or sugars. It has an extra smooth texture gentle enough for baby's delicate digestive system. GERBER 1st FOODS Prunes contains 2.1g of fiber and has 0g trans fat.","[8706, 10100747, 8718, 8722]",1834457436,7k+ sold,RedMart,1000008313,31324,Gerber,Singapore
Enfagrow Pro A+ Stage 4 Milk Powder Formula for Children DHA+ (4-6Y) 800G,,https://sg-test-11.slatic.net/p/dd7bee566bfca06e72a389d85af2da4a.jpg,,48.19,,4.972222222222222,36,"""- With over 100 years of experience in pediatric nutrition, Mead Johnson Nutrition has scientifically formulated Enfagrow Pro A+ Stage 4 with a unique blend of nutrients that are important for overall mental and physical development. - Milk Fat Globule Membrane (MFGM) is a natural source of phospholipids and sphingomyelin - Formulated with DHA Plus to help meet recommended daily DHA intake*. - Choline helps support overall mental functioning - Taurine helps to support overall mental and physical development - With 2’-FL. Complemented with Iron and Zinc that help support your child’s natural defenses. - Prebiotic (FOS) promotes the growth of good Bifidus bacteria to help maintain a healthy digestive system - No added sucrose *FAO/WHO recommends daily dietary intake of 100-150mg DHA+EPA for children 4 years old and above. Reference: FAO 2010. Fats and fatty acids in human nutrition. Report of an expert consultation. FAO Food and Nutrition Paper no. 91. FAO:Rome.""""""","[8706, 10100747, 8708, 8712]",1832861881,2k+ sold,RedMart,1000008313,53111,Enfagrow,Singapore
Bubs Organic Berry & Banana Bircher Muesli Pouch,,https://sg-live-01.slatic.net/p/f0fa2dcf8d0c43b5d84d8a800639df8e.jpg,,3.67,,4.983050847457627,118,"Brighten up bubs’ breakfast with this scrummy blend of organic berries and banana, mixed with four wholesome grains: quinoa, millet, brown rice and flaxseed. This convenient pouch of bircher muesli is a great source of healthy oils and essential nutrients for baby’s growth and development. Great tasting nutrition for even the busiest of mornings.","[8706, 10100747, 8718, 8722]",1693174216,"9,999+ sold",RedMart,1000008313,110320414,Bubs Organic,Singapore
Bubs Organic Strawberry Pear & Quinoa,,https://sg-live-01.slatic.net/p/a10af22811a2869933589cd7570e4b90.jpg,,3.67,,4.988888888888889,90,"Succulent organic strawberries and pears are blended with protein-packed quinoa, then packed in a grab & go pouch so you can give your bub a healthy meal wherever you are. Your bub’s little taste buds will love this combination, and you’ll love knowing that you’re fostering great eating habits from the start.","[8706, 10100747, 8718, 8722]",1693084586,8k+ sold,RedMart,1000008313,110320414,Bubs Organic,Singapore
Enfamil Pro A+ Stage 1 Infant baby Milk Powder Formula (0-12M) 1.65KG,,https://sg-live-01.slatic.net/p/bca05fe8fb69854903a2d8f94d0a0567.jpg,,136.65,,4.985611510791367,139,"• * Important Notice: Breast milk is the best for babies. The World Health Organisation recommends exclusive breastfeeding for the first six months of life. Unnecessary introduction of bottle feeding or other food and drinks will have a negative impact on breastfeeding. After six months of age, infants should receive age-appropriate foods while breastfeeding continues for up to two years of age or beyond. Consult your doctor before deciding to use infant formula or if you have difficulty breastfeeding. • At Mead Johnson, we focused primarily on paediatric nutrition and commitment to paediatric nutrition research and innovation over the years. With over 100 years experience in paediatric nutrition, Mead Johnson Nutrition has designed Enfamil Pro A+ Stage 1. • Enfamil Pro A+ Stage 1 contains: • 2’-FL • DHA & ARA • PDX & GOS","[8706, 10100747, 8708, 8710]",1611822250,4k+ sold,RedMart,1000008313,52732,Enfamil,Singapore
Dumex Dugro Growing Up Kid Milk Formula Stage 5 (2 X 800G),,https://sg-test-11.slatic.net/p/8d57cdc64dc9d5d3cac11b5e0ac52cfb.jpg,,47.35,,4.9787234042553195,94,"Get so much more goodness with Dugro milk formula. Sourced from Australia and New Zealand, each serving contains DHA, recommended vitamins and minerals such as Calcium, Iron, and Zinc for growth and development. For children 6 years onwards.","[8706, 10100747, 8708, 8712]",556426482,1k+ sold,RedMart,1000008313,30360,Dumex,Singapore
Hipp Organic Baby Cereal 100% Corn,,https://sg-live-01.slatic.net/p/3546f38cff770b6f5b8ba790f2b0b5b6.jpg,,8.05,,4.972222222222222,36,"HiPP 100% Corn is an all natural baby cereal made with pure corn and no added sugars. It is gluten-free and non-gmo. HiPP 100% Corn comes in a eco-friendly packaging and is made in a carbon-neutral HiPP production facility. HiPP organic seal gurantees the highest quality standards, which even exceed those of the EU.","[8706, 10100747, 8718, 8720]",397528305,1k+ sold,RedMart,1000008313,95277,Hipp,Singapore
Little Freddie Banana & Spelt Biscuits 80G,,https://sg-test-11.slatic.net/p/66a4caeb1e47758ffe955d3b790aacf4.jpg,8.68,7.99,8% Off,4.972972972972973,37,These tasty biscuits are made with wheat flour and wholegrain spelt flour for more flavour and texture. They are naturally sweetened with banana and grape juice.,"[8706, 10100747, 8718, 8721]",304094381,2k+ sold,RedMart,1000008313,64312,Little Freddie,Singapore
Grow Infant Milk Formula for Babies - Stage 1 (0 - 12 months) - 900G,,https://sg-live-01.slatic.net/p/5b14d75365a718775666118ef52b9ea2.jpg,,18.65,,4.971563981042654,211,"IMPORTANT NOTICE: Breast milk is the best for babies. The World Health Organization recommends exclusive breastfeeding for the first six months of life. Unnecessary introduction of bottle feeding or other food and drinks will have a negative impact on breastfeeding. After six months of age, infants should receive age-appropriate foods while breastfeeding continues for up to two years of age or beyond. Consult your doctor before deciding to use infant formula or if you have difficulty breastfeeding. GROW infant formula. Stage 1 for 0 - 12 months old. Docosahexaenoic acid (DHA) is a polyunsaturated omega-3 fatty acid. Arachidonic acid (AA) is a polyunsaturated omega-6 fatty acid. Choline is a vitamin-like essential nutrient. Taurine is an amino acid. Fructo-oligosaccharides (FOS) are a type of fibre.","[8706, 10100747, 8708, 8710]",303904597,6k+ sold,RedMart,1000008313,31701,Grow,Singapore
Organix Goodies Organic Cheese and Herb Puffs,,https://sg-live-01.slatic.net/p/5d5f8c64f5e2294ce4c1b26f71faa09f.jpg,,2.55,,4.980392156862745,51,"For little explorers on the go We make our puffs with cheese powder and a sprinkle of parsley. Made just from corn, with no added salt, we simply bake them so they're tasty, light and crispy.","[8706, 10100747, 8718, 8722]",302852725,4k+ sold,RedMart,1000008313,27851,Organix,Singapore
Dumex Mamil Gold Stage 2 Follow On Baby Milk Formula 850G,,https://sg-live-01.slatic.net/p/f3a357cc161307c84f211ace39add785.jpg,,57.15,,4.976190476190476,42,"Breast milk is the best for babies. The World Health Organisation recommends exclusive breastfeeding for the first six months of life. Unnecessary introduction of bottle feeding or other food and drinks will have a negative impact on breastfeeding. After six months of age, infants should receive age-appropriate foods while breastfeeding continues for up to two years of age or beyond. Consult your doctor before deciding to use infant formula or if you have difficulty breastfeeding. A newly enhanced formula that is naturally sourced and made from milk produced by free roaming grass-fed cows. Designed by experts and co-created with a community of mothers, it is free from genetically modified organisms (GMOs) and colourings. Specially formulated with unique prebiotic blend (GOS/lcFOS in ratio 9:1). Made in Europe.","[8706, 10100747, 8708, 8711]",301186106,1k+ sold,RedMart,1000008313,30360,Dumex,Singapore
Similac Total Comfort Stage 2 Baby Milk Powder Formula 2'-FL (6-12 months) - 820G,,https://sg-test-11.slatic.net/p/aae9535d41f3a771de2756a53bea7faf.jpg,,72.56,,4.970588235294118,102,"IMPORTANT NOTICE: Breast milk is the best for babies. The World Health Organization recommends exclusive breastfeeding for the first six months of life. Unnecessary introduction of bottle feeding or other food and drinks will have a negative impact on breastfeeding. After six months of age, infants should receive age-appropriate foods while breastfeeding continues for up to two years of age or beyond. Consult your doctor before deciding to use infant formula or if you have difficulty breastfeeding. Partially hydrolyzed 100% whey protein Similac® Total Comfort H.A is scientifically formulated with: • Partially hydrolyzed 100% whey protein broken down into smaller pieces • EyeQ Plus™ Nutrition System that contains DHA and AA • TummiCare™ Nutrition System with fructo-oligosaccharides (FOS) • IMMUNIFY® ingredients with 2’-FL and nucleotides • Non-GMO (genetically modified organisms) ingredients","[8706, 10100747, 8708, 8711]",301170100,4k+ sold,RedMart,1000008313,52845,Similac,Singapore
Grow Growing Up Milk for Kids - Preschool Stage 4 (3 - 6 years) - 1.8KG,,https://sg-test-11.slatic.net/p/95fb9e7f2e9bbbfca6598d22cd897753.jpg,,72.05,,4.978378378378379,185,"Abbott GROW milk powder for school-going children is formulated to provide essential nutrients to support their overall growth and development. GROW preschool is scientifically formulated to support the nutritional needs of your child in their formative years. Brain Development: DHA is an important building block for the development of brain and eyes. Growth: Calcium helps to support development of strong bones and teeth. Vitamin D helps support Calcium absorption and improves bone strength. Immunity: Antioxidant system with Zinc, Vitamins C and E to help protect cells from free radicals. Iron and Zinc are necessary for normal immune function. Unique vegetable fat blend with No Palm Oil. GROW is a Healthier Choice product which is lower in saturated fat and higher in calcium.","[8706, 10100747, 8708, 8712]",301130330,4k+ sold,RedMart,1000008313,31701,Grow,Singapore
Ella's Kitchen Organic Peaches and Bananas 6+ Months Baby Food,,https://sg-live-01.slatic.net/p/cff07264192a9fcee3681e434b63d027.jpg,4.59,4.13,10% Off,4.987804878048781,81,"Different and healthy kind of baby food, as all I contain is 100% organic fruit and veg, with nothing to dilute my goodness, not even water. I'm really handy to use at home or out and about and best of all babies think I taste great! My dad made a promise to me and my brother that he would only use stuff in our products that is full of goodness. I told him everything also has to taste great and he agreed!","[8706, 10100747, 8718, 8722]",301120956,"9,999+ sold",RedMart,1000008313,166387,Ella's Kitchen,Singapore
"Bellamy's Organic Beta Genica-8"" Step 2 Follow-On Formula (800G)",,https://sg-live-01.slatic.net/p/d5f2ab8eb583607c51819d899db627f4.jpg,,76.76,,4.96,25,"0.01% OF THE WORLD’S DAIRY MILK IS CERTIFIED ORGANIC A2 MILK. Bellamy’s Organic Beta Genica-8™ is our most advanced formulation which is made from A2 certified organic milk. It combines the purity of organic ingredients with functional nutrition, supported by the latest in paediatric research. Beta Genica-8™ Step 2 Follow-on Formula is formulated to meet the nutritional needs of babies from 6 months to 1 year of age.- Australian dual-certified organic- Organic A2 beta-casein protein- Full cream milk with organic milk fat- Unique combination of premium ingredients, supported by the latest in paediatric research- Non GMO- Australian Made- Suitable for healthy infants from 6 months if not being breastfed or as part of mixed feeding. Source: Metrix Consulting, Global Organic A2 Milk Production Report, February 2021","[8706, 10100747, 8708, 8711]",2152243122,1k+ sold,RedMart,1000008313,89343,Bellamy's,Singapore
Grow Growing Up Milk for Kids - Ready-To-Drink Chocolate (3 - 12 years) - 4x180ML,,https://sg-test-11.slatic.net/p/0dc1b2495b6ca8dc04888c86adc4deee.jpg,,6.1,,4.960431654676259,278,Good nutrition is essential to support your child's mental development and physical growth. GROW Ready-To-Drink is an advanced formulation scientifically designed for children during their formative phase of 3 to 12 years old. Support your child's learning and fuel his day-to-day activities with GROW Ready-To-Drink! 2. servings of GROW Chocolate Milk (yielding 321 kcal) can be consumed to help meet daily energy needs.,"[8706, 10100747, 8708, 8712]",1185224336,"9,999+ sold",RedMart,1000008313,31701,Grow,Singapore
Frisolac Gold Stage 2 with 2'-FL 1.8KG - Follow-On Milk Formula Powder - For Infant / Newborn / Baby 6-12 months old,,https://sg-live-01.slatic.net/p/83c84201e24086486e346d5bc71faf9c.jpg,,116.06,,4.9625,80,"• Follow-on formula for infants from 6 to 12 months. • With NOVAS Signature Milk from our own farms in the Netherlands. • High quality milk through our dairy science expertise. • LockNutri is an advanced process technology that locks in milk protein structure in its natural form. • Contains 2'-FL, GOS, DHA, AA, Nucleotides. Important notice: Breast milk is the best for babies. The World Health Organisation recommends exclusive breastfeeding for the first six months of life. Unnecessary introduction of bottle feeding or other food and drinks will have a negative impact on breastfeeding. After six months of age, infants should receive age-appropriate foods while breastfeeding continues for up to two years of age or beyond. Consult your doctor before deciding to use infant formula or if you have difficulty breastfeeding.","[8706, 10100747, 8708, 8711]",783660641,2k+ sold,RedMart,1000008313,30438,Frisolac,Singapore
Gerber Organic Oatmeal Banana Cereal 227G - From 6 Months,,https://sg-test-11.slatic.net/p/8c8eceafd6c665c422c70672d305b8ea.jpg,,11.11,,4.965909090909091,88,USDA Certified Organic.,"[8706, 10100747, 8718, 8720]",761974464,3k+ sold,RedMart,1000008313,31324,Gerber,Singapore
Hipp Junior Combiotic Growing-Up Milk 4 Baby Formula,,https://sg-test-11.slatic.net/p/3593c32754e906c3cf83e5c3439dd559.jpg,,49.91,,4.961538461538462,26,Contains Prebiotics & Probiotics that Plays an Important Role in the Baby's Digestive and Immune System. Protein and Fat Content Adapted to Suit the Need of Young Children. Contains Essential Vitamins and Minerals for Healthy Growth.,"[8706, 10100747, 8708, 8712]",329368596,2k+ sold,RedMart,1000008313,95277,Hipp,Singapore
Wakodo Creamy Vegetable & Chicken Stew,,https://sg-live-01.slatic.net/p/0d9208a726816fd1ec1dccfdb9930af4.jpg,,5.9,,4.962962962962963,27,It has a creamy taste with the umami of vegetables and soft chicken.,"[8706, 10100747, 8718, 8720]",305056836,2k+ sold,RedMart,1000008313,63774,Wakodo,Singapore
Wyeth Nutrition S-26 Gold Promise Stage 4 Growing-up Formula 900G - From 36 Months,,https://sg-live-01.slatic.net/p/e664e6dcd785d28936f2997d9329aa84.jpg,,40.23,,4.962025316455696,79,"S-26 GOLD PROMISE now with 2'-FL. It contains a scientific blend of Specialized 26 ingredients, together with DHA, Choline and Lutein to support your child's brain development. It also contains Alpha-lactalbumin, a unique high-quality protein that helps in tissue building and growth. Complemented with Oligo fructose, a soluble dietary fibre which stimulates an increase of beneficial bifidobacteria in the intestinal tract that helps maintain healthy digestive system.","[8706, 10100747, 8708, 8712]",301158427,3k+ sold,RedMart,1000008313,167287,Wyeth Nutrition,Singapore
Nature One Dairy ® GoKIDS Chocolate Oat Milk Drink 200ml x 3,,https://sg-test-11.slatic.net/p/6fd5ce39164ad521952420fba2cbe457.jpg,,5.3,,4.954545454545454,22,Gokids Chocolate Oat Milk (3 X 200ML),"[8706, 10100747, 8708, 8712]",2405586942,2k+ sold,RedMart,1000008313,153330,Nature One Dairy,Singapore
Heinz Rt Banana Porridge 110G,,https://sg-test-11.slatic.net/p/8748ee520ff66f3caf63e002a0e2e67b.jpg,,2.72,,4.954545454545454,22,Got a spoon Then you're ready to serve delicious baby food that's as yummy and simple as homemade. Glass jars can be reused and recycled.,"[8706, 10100747, 8718, 8720]",2170027185,1k+ sold,RedMart,1000008313,85729,Heinz,Singapore
Little Blossom Organic Baby Cereal - Sweet Potato,,https://sg-live-01.slatic.net/p/7c9ea24077a435d0e96ee930e46dce12.jpg,,6.73,,4.956521739130435,23,"Give your baby an exciting start to their weaning journey with Little Blossom’s organic brown rice cereal. Our cereal is all natural, made with real fruits & veggies and contains no added sugar, salt or preservatives and halal certified. Just add water or milk for a convenient & delicious meal for baby. Recommended for babies 6 months and above.","[8706, 10100747, 8718, 8720]",2065424728,881 sold,RedMart,1000008313,123558471,Little Blossom,Singapore
[Carton of 6] Nestle NAN Optipro Stage 4 Growing Up Milk 850G - From 24 Months,,https://sg-test-11.slatic.net/p/059f5d1bad493f935ff796beac445537.jpg,257.36,218.76,15% Off,4.95114006514658,307,"NAN OPTIPRO 4 is a Healthier Choice product. It is 25-percent lower in sugar and 25-percent higher in calcium than regular growing up milk. PROTECT BUILD - a unique combination of nutritive ingredients comprising of: BIFIDUS BL, Extensively Researched Probiotics - Protects against potentially harmful bacteria in the digestive system, helps maintain a healthy digestive system. LIPID-SMART (Unique LIPID SMART fat blend with DHA & ARA precursor) - Important building blocks for the development of the brain and eyes of your child. PRO - Naturally active Lactobacilli cultures B-complete - Vitamins B1, B2 & B3 help to release energy from proteins, fats and carbohydrates. NAN Kid 4 premium milk for children contains Iron & Zinc, which help support your child's natural defences. Added Sucrose (Sugar) - Contains the goodness of milk with No Added Sucrose (Sugar).","[8706, 10100747, 8708, 8712]",1638134722,4k+ sold,RedMart,1000008313,71490,Nestle NAN,Singapore
